Mot / expression,Phrase du poème (non réduite),Définition précise,Synonymes littéraires,Auteur / Œuvre
L’onde,« Sur l’onde calme et noire où dorment les étoiles / La blanche Ophélia flotte comme un grand lys. »,"Surface de l’eau, souvent calme ou légèrement mouvante.","vague, flot, nappe d’eau",Rimbaud — Ophélie
Hallalis,« On entend dans les bois lointains des hallalis. »,Cris de chasse annonçant la poursuite ou la mise à mort du gibier.,"fanfares, appels de chasse",Rimbaud — Ophélie
Romance,« Voici plus de mille ans que sa douce folie / Murmure sa romance à la brise du soir. »,"Chant simple, mélodieux, souvent mélancolique.","ballade, cantilène",Rimbaud — Ophélie
Fantôme blanc,"« Passe, fantôme blanc, sur le long fleuve noir. »","Apparition pâle, spectrale, irréelle.","spectre, ombre, apparition",Rimbaud — Ophélie
Saules frissonnants,« Les saules frissonnants pleurent sur son épaule. »,Saules dont les feuilles tremblent légèrement au vent.,"saules tremblants, feuillages vibrants",Rimbaud — Ophélie
Âpre liberté,« T’avaient parlé tout bas de l’âpre liberté. »,"Liberté rude, sévère, difficile à porter.","liberté farouche, liberté dure",Rimbaud — Ophélie
Aune,"« Elle éveille parfois, dans un aune qui dort, / Quelque nid, d’où s’échappe un petit frisson d’aile. »","Arbre des zones humides, proche des rivières.",aulne,Rimbaud — Ophélie
Chant mystérieux,« Un chant mystérieux tombe des astres d’or. »,"Mélodie énigmatique, venue d’une source inconnue.","murmure secret, voix obscure",Rimbaud — Ophélie
Nénuphars froissés,« Les nénuphars froissés soupirent autour d’elle. »,Plantes aquatiques pliées ou agitées par le passage.,"lotus froissés, feuilles d’eau",Rimbaud — Ophélie
Râle,"« C’est que la voix des mers folles, immense râle, / Brisait ton sein d’enfant, trop humain et trop doux. »","Long souffle rauque, plainte profonde.","gémissement, plainte, souffle",Rimbaud — Ophélie
Cavalier pâle,"« C’est qu’un matin d’avril, un beau cavalier pâle, / Un pauvre fou, s’assit muet à tes genoux ! »","Jeune homme chevaleresque, fragile ou spectral.","chevalier blême, jeune homme livide",Rimbaud — Ophélie
Se fondais,« Tu te fondais à lui comme une neige au feu. »,"Se dissoudre, disparaître en s’unissant.","se mêler, se confondre",Rimbaud — Ophélie
Visions étranglaient,« Tes grandes visions étranglaient ta parole / Et l’Infini terrible effara ton œil bleu ! »,Images mentales intenses empêchant de parler.,"obsessions, hallucinations",Rimbaud — Ophélie
Effara,« Et l’Infini terrible effara ton œil bleu ! »,"Effrayer soudainement, épouvanter.","terrifier, épouvanter",Rimbaud — Ophélie
L’Infini terrible,« Et l’Infini terrible effara ton œil bleu ! »,L’immensité cosmique perçue comme menaçante.,"immensité effrayante, absolu redoutable",Rimbaud — Ophélie
Douce folie,« Voici plus de mille ans que sa douce folie / Murmure sa romance à la brise du soir. »,"Égarement tendre, poétique, presque charmant.","délire doux, égarement tendre",Rimbaud — Ophélie
Longs voiles,"« Flotte très lentement, couchée en ses longs voiles… »","Draperies flottantes entourant Ophélie, évoquant un linceul.","étoffes, draperies",Rimbaud — Ophélie
Front rêveur,« Sur son grand front rêveur s’inclinent les roseaux. »,"Front exprimant la rêverie, la douceur mélancolique.","front pensif, front méditatif",Rimbaud — Ophélie
Mers folles,"« C’est que la voix des mers folles, immense râle… »","Océans déchaînés, symboles de chaos intérieur.","flots furieux, océans déments",Rimbaud — Ophélie
Astres d’or,« Un chant mystérieux tombe des astres d’or. »,"Étoiles brillantes, lumineuses, presque sacrées.","étoiles dorées, astres lumineux",Rimbaud — Ophélie
Grand lys,« La blanche Ophélia flotte comme un grand lys. »,"Fleur blanche, symbole de pureté et de mort douce.","lis blanc, fleur immaculée",Rimbaud — Ophélie
,,,,
Mot / expression,Phrase du poème,Définition,Synonymes,Auteur / Œuvre
Anadyomène,Le titre : « VÉNUS ANADYOMÈNE » parodie la naissance de la déesse de la beauté en la plaçant dans un contexte sordide.,"« Anadyomène » signifie « qui sort de l’eau », référence à la naissance mythique de Vénus.","surgissante, émergente",Rimbaud — Vénus Anadyomène
Cercueil,"« Comme d'un cercueil vert en fer blanc, une tête de femme à cheveux bruns fortement pommadés… »","Coffre funéraire ; ici, image dégradante d’une baignoire assimilée à un cercueil.","bière, boîte funèbre",Rimbaud — Vénus Anadyomène
Fer blanc,"« Comme d'un cercueil vert en fer blanc, une tête de femme… »","Métal bon marché, mince et terne.","tôle, métal pauvre",Rimbaud — Vénus Anadyomène
Pommadés,« Une tête de femme à cheveux bruns fortement pommadés d'une vieille baignoire émerge… »,"Enduits de pommade, luisants de graisse.","lustrés, englués",Rimbaud — Vénus Anadyomène
Émerge,"« D'une vieille baignoire émerge, lente et bête, avec des déficits assez mal ravaudés… »",Sortir de l’eau ou d’un contenant.,"surgir, apparaître",Rimbaud — Vénus Anadyomène
Ravaudés,« …avec des déficits assez mal ravaudés… »,"Raccommodés grossièrement, réparés de manière maladroite.","rafistolés, reprisés",Rimbaud — Vénus Anadyomène
Col,"« Puis le col gras et gris, les larges omoplates qui saillent… »",Partie du corps reliant la tête au tronc.,"nuque, cou",Rimbaud — Vénus Anadyomène
Omoplates,"« Le col gras et gris, les larges omoplates qui saillent ; le dos court qui rentre et qui ressort… »",Os plats du haut du dos.,"épaules (poétique), scapulas",Rimbaud — Vénus Anadyomène
Saillent,« Les larges omoplates qui saillent ; le dos court qui rentre et qui ressort… »,"Qui ressortent, qui dépassent.","émergent, protubèrent",Rimbaud — Vénus Anadyomène
L’essor,« Puis les rondeurs des reins semblent prendre l’essor ; la graisse sous la peau paraît en feuilles plates… »,"Mouvement d’élévation, d’élan.","envol, élan",Rimbaud — Vénus Anadyomène
Feuilles plates,« La graisse sous la peau paraît en feuilles plates… »,"Larges plaques minces, évoquant une chair déformée.","lamelles, plaques",Rimbaud — Vénus Anadyomène
Échine,"« L’échine est un peu rouge, et le tout sent un goût horrible étrangement… »","Dos, colonne vertébrale.","dos, arrière-train",Rimbaud — Vénus Anadyomène
Étrangement,« …et le tout sent un goût horrible étrangement ; on remarque surtout des singularités… »,"D’une manière étrange, anormale.","bizarrement, curieusement",Rimbaud — Vénus Anadyomène
Singularités,« On remarque surtout des singularités qu’il faut voir à la loupe… »,"Détails particuliers, anomalies.","bizarreries, anomalies",Rimbaud — Vénus Anadyomène
Loupe,« …des singularités qu’il faut voir à la loupe… Les reins portent deux mots gravés. »,Instrument grossissant permettant d’examiner de près.,verre grossissant,Rimbaud — Vénus Anadyomène
Gravés,« Les reins portent deux mots gravés : Clara Venus. »,Inscrits en creux ou en relief dans la matière.,"incisés, inscrits",Rimbaud — Vénus Anadyomène
Remue,« Et tout ce corps remue et tend sa large croupe… »,"Bouge, s’agite.","se meut, s’agite",Rimbaud — Vénus Anadyomène
Croupe,« …tend sa large croupe belle hideusement d’un ulcère à l’anus… »,Partie postérieure du corps.,"arrière-train, fessier",Rimbaud — Vénus Anadyomène
Hideusement,« …belle hideusement d’un ulcère à l’anus… »,"D’une manière laide, monstrueuse.","horriblement, monstrueusement",Rimbaud — Vénus Anadyomène
Ulcère,« …d’un ulcère à l’anus. »,Lésion infectée de la peau ou d’une muqueuse.,"plaie, chancre",Rimbaud — Vénus Anadyomène
,,,,
Mot / expression,Phrase du texte,Définition,Synonymes littéraires,Auteur / Œuvre
Abhorrescere a sanguine,"« …c’est cette suprême fin de non-recevoir, abhorrescere a sanguine, construite à tout jamais en avant de tous les procès criminels… »","Expression latine : « avoir horreur du sang », refuser de verser le sang.","répugnance au sang, refus du sang",Hugo — Préface du Dernier Jour d’un Condamné
Plaidoyer,« Il déclare donc… que Le Dernier Jour d’un Condamné n’est autre chose qu’un plaidoyer… pour l’abolition de la peine de mort. »,Discours en faveur d’une cause.,"défense, argumentation",Hugo — Préface
Abolition,« …concourir à l’abolition de la peine de mort. »,Suppression légale d’une pratique.,"suppression, disparition",Hugo — Préface
Plaidoirie,« …c’est la plaidoirie générale et permanente pour tous les accusés présents et à venir… »,Défense orale devant un tribunal.,"défense, discours d’avocat",Hugo — Préface
Cassation,"« …la société, qui est la grande cour de cassation… »",Juridiction suprême qui annule les jugements.,"haute cour, tribunal suprême",Hugo — Préface
Pathos,« …sous les triples épaisseurs de pathos dont l’enveloppe la rhétorique sanglante des gens du roi… »,"Émotion excessive, emphase dramatique.","emphase, affectation",Hugo — Préface
Parquet,"« …dépouillée des entortillages sonores du parquet, brutalement mise au jour… »",Corps des magistrats chargés de l’accusation.,ministère public,Hugo — Préface
Échafaud,"« …posée où il faut qu’on la voie… non au tribunal, mais à l’échafaud… »",Plateforme où se déroulent les exécutions.,"gibet, potence",Hugo — Préface
Bourreau,"« …non chez le juge, mais chez le bourreau. »",Exécuteur des sentences capitales.,"exécuteur, exécuteur public",Hugo — Préface
Prétoire,"« …devant toutes les cours, tous les prétoires, tous les jurys, toutes les justices. »",Salle où siège un tribunal.,"tribunal, salle d’audience",Hugo — Préface
Jury,« …plaider la cause d’un condamné quelconque… devant tous les jurys… »,Groupe de citoyens chargé de juger les faits.,"jurés, assemblée judiciaire",Hugo — Préface
Magistrat,« …faire saigner un cœur sous l’œs triplex du magistrat ! »,Fonctionnaire chargé de rendre la justice.,"juge, homme de loi",Hugo — Préface
Grève,« C’est là qu’un jour en passant il a ramassé cette idée fatale… sur la place de Grève. »,Ancienne place parisienne des exécutions.,place des supplices,Hugo — Préface
Guillotine,« …gisante dans une mare de sang sous les rouges moignons de la guillotine. »,Machine utilisée pour décapiter.,"couperet, machine à décapiter",Hugo — Préface
Supplice,"« C’était un supplice, un supplice qui commençait avec le jour, et qui durait… »","Torture, souffrance extrême.","torture, martyre",Hugo — Préface
Exécutions judiciaires,"« Quand un de ces crimes publics, qu’on nomme exécutions judiciaires, a été commis… »",Mise à mort ordonnée par la justice.,"peine capitale, mise à mort",Hugo — Préface
Arbre patibulaire,"« …jeter bas l’arbre patibulaire, le seul arbre que les révolutions ne déracinent pas. »","Gibet, structure où l’on pend les condamnés.","potence, gibet",Hugo — Préface
Gibet,« …élargir de son mieux l’entaille… au vieux gibet dressé depuis tant de siècles… »,Instrument de pendaison.,"potence, échafaud",Hugo — Préface
Couperet,« 1830 méritait de briser le couperet de 93. »,Lame tombante de la guillotine.,"lame, tranchet",Hugo — Préface
Inviolabilité,« …inscrire au front de la loi l’inviolabilité de la vie humaine. »,Caractère de ce qui ne peut être violé ou atteint.,"sacralité, intangibilité",Hugo — Préface
Procureur général,"« Tel vieux procureur général, blanchi dans la robe rouge… »",Chef du ministère public auprès d’une cour.,chef du parquet,Hugo — Préface
Réquisitoires,« …le pain trempé de sang des réquisitoires… »,Discours d’accusation du parquet.,"accusations, charges",Hugo — Préface
Myriologie,"« Ce fut une lamentation, une myriologie, un concert de psaumes lugubres… »","Chant funèbre, lamentation.","thrène, complainte",Hugo — Préface
Stabat mater dolorosa,« …une grande symphonie en ut… un Stabat mater dolorosa… »,Hymne religieux évoquant la douleur de Marie.,lamentation sacrée,Hugo — Préface
Charrette,"« …impossible d’envoyer à la Grève, dans une charrette, ignoblement liés… »",Véhicule à deux roues servant ici au transport des condamnés.,"tombereau, voiture",Hugo — Préface
Mot / expression,Phrase du texte,Définition,Synonymes littéraires,Auteur / Œuvre
Vénéneux,"« …l’échafaud politique est le plus abominable, le plus funeste, le plus vénéneux, le plus nécessaire à extirper. »",Qui empoisonne moralement ou symboliquement.,"toxique, corrupteur",Hugo — Préface
Maison de force,"« …enfants déshérités d’une société marâtre, que la maison de force prend à douze ans… »",Établissement disciplinaire où l’on enfermait les mineurs et indigents.,"maison de correction, dépôt",Hugo — Préface
Bagne,"« …le bagne à dix-huit, l’échafaud à quarante… »",Lieu de travaux forcés pour condamnés.,"galères, travaux forcés",Hugo — Préface
Paria,« Un conseil de brahmanes serait beau prenant en main la cause du paria. »,"Individu exclu, rejeté par la société.","proscrit, intouchable",Hugo — Préface
Sursis,« …prenant leur sursis pour leur grâce. »,Report temporaire d’une peine.,"délai, suspension",Hugo — Préface
Philanthropie,"« Le jour où il avait entendu les faiseurs de lois parler humanité, philanthropie, progrès, il s’était cru perdu. »","Amour de l’humanité, volonté d’aider autrui.","altruisme, humanitarisme",Hugo — Préface
Bascule,"« …ficelle sur la bascule, l’enfourne… puis il lâche le couperet. »",Partie mobile de la guillotine qui bascule le condamné.,"planche, bascule du supplice",Hugo — Préface
Patient,"« Le couperet mord le cou du patient une seconde fois, mais ne le tranche pas. »",Celui qui subit l’action (ici : le supplicié).,"victime, supplicié",Hugo — Préface
Doloire,« …lui donna trente-quatre coups d’une doloire de tonnelier… »,Hachette utilisée par les tonneliers.,"hachette, herminette",Hugo — Préface
Exécutions secrètes,"« À Paris, nous revenons au temps des exécutions secrètes. »",Mise à mort dissimulée au public.,exécutions clandestines,Hugo — Préface
Cadenassé,"« …clos de toutes parts, cadenassé et verrouillé… »",Fermé par un cadenas.,"verrouillé, scellé",Hugo — Préface
Paradoxe,« …des gens qui prennent l’excellence de la peine de mort pour texte à paradoxe comme tout autre thème. »,Idée contraire à l’opinion commune.,"contradiction, antinomie",Hugo — Préface
Jurisconsultes,"« Ceux-là sont les envieux, qui ne font pas plus faute aux bons jurisconsultes qu’aux grands artistes. »",Spécialistes du droit.,"légistes, docteurs en droit",Hugo — Préface
Dialecticiens,"« …mais aux hommes de loi proprement dits, aux dialecticiens, aux raisonneurs… »",Maîtres de l’art du raisonnement.,"logiciens, argumentateurs",Hugo — Préface
Vindicte publique,"« …au nom de la société à protéger, de la vindicte publique à assurer… »",Punition exercée au nom de la société.,"justice punitive, répression sociale",Hugo — Préface
Hyperboles,"« …un coup d’épingle dans ces hyperboles, et vous les désenflez. »",Exagérations rhétoriques.,"amplifications, outrances",Hugo — Préface
Mandarins,"« Taisez-vous, mandarins ! Sous la patte de velours du juge on sent les ongles du bourreau. »",Savants ou autorités prétentieuses.,"pontifes, doctrinaires",Hugo — Préface
Pourvoyeur,« C’est le pourvoyeur titulaire des places de Grève. »,"Celui qui fournit, approvisionne (ici : en condamnés).","fournisseur, approvisionneur",Hugo — Préface
Métaphores,« …il le fleurit de métaphores… »,Figures qui remplacent un terme par un autre par analogie.,"images, symboles",Hugo — Préface
Élocution,"« …ses élégances d’élocution, ses recherches, ses raffinements d’écrivain. »",Manière de s’exprimer.,"diction, style",Hugo — Préface
Périphrase,« Il entortille le panier rouge dans une périphrase. »,Expression détournée remplaçant un mot simple.,"circonlocution, détour",Hugo — Préface
Tropes,« …infuser dans un gâchis de tropes et de synecdoches deux ou trois textes vénéneux… »,Figures de style fondées sur le sens.,"métaphores, métonymies",Hugo — Préface
Synecdoches,« …dans un gâchis de tropes et de synecdoches… »,Figure où la partie désigne le tout ou inversement.,"métonymies, substitutions",Hugo — Préface
Exorbitant,« …ce droit exorbitant que la société s’arroge d’ôter ce qu’elle n’a pas donné… »,Qui dépasse les limites légitimes.,"abusif, excessif",Hugo — Préface
Séquestrez-le,"« Cet homme, ce coupable qui a une famille, séquestrez-le. »","Enfermer, isoler juridiquement.","confinez-le, isolez-le",Hugo — Préface
Musico,"« …comptez sur cette famille pour approvisionner… eux le bagne, elles le musico ? »","Terme d’argot désignant la prison pour femmes, souvent un établissement sordide où l’on enferme les prostituées, voleuses ou femmes jugées « déviantes ». Le mot évoque un lieu de relégation sociale, où la misère féminine est enfermée et oubliée.","prison de femmes, maison de force féminine",Hugo — Préface
Aumônier,"« Vous les livrez à votre aumônier de prison, excellent vieillard sans doute… »","Prêtre attaché à une institution (prison, hôpital, armée), chargé d’apporter un soutien moral et religieux. Dans le contexte carcéral, il représente la compassion institutionnelle, mais aussi l’impuissance face à la violence du système.","chapelain, ecclésiastique, confesseur",Hugo — Préface
Pénalité,« …nous voulons un remaniement complet de la pénalité sous toutes ses formes… »,"Ensemble des lois, peines et dispositifs qui organisent la répression des crimes. Le mot renvoie à une architecture juridique entière, souvent critiquée pour sa brutalité, son archaïsme ou son inefficacité.","système pénal, châtiment légal, répression",Hugo — Préface
Décrépitude,« Signe de décrépitude. Signe de faiblesse. Signe de mort prochaine. »,"État d’usure extrême, de dégradation physique ou morale. Appliqué à une institution, il suggère qu’elle est arrivée au terme de sa légitimité et s’effondre sous son propre poids.","ruine, délabrement, effondrement",Hugo — Préface
Thémis,"« Oui, l’horrible Thémis dentue et vorace de Farinace… dépérit. »","Allégorie grecque de la Justice, représentée comme une déesse. Hugo la transforme en figure monstrueuse, « dentue et vorace », pour dénoncer une justice punitive, carnassière, qui dévore les condamnés au lieu de les juger équitablement.","justice personnifiée, loi, déesse de la justice",Hugo — Préface
Prostituée,« Elle qui s’était prostituée depuis trois siècles à tous les échafauds… »,"Ici, métaphore violente : la Justice s’est « vendue » aux bourreaux, s’est compromise avec la violence d’État. Le mot exprime une corruption profonde, une trahison de sa mission sacrée.","avilie, corrompue, dégradée",Hugo — Préface
Écroulement,« …ainsi la providence aura complété l’écroulement du passé. »,"Effondrement total d’un système ou d’un ordre ancien. Le mot évoque une chute lente mais irréversible, comme un édifice vermoulu qui finit par s’abattre.","ruine, effondrement, chute",Hugo — Préface
Cachot,"« Mon corps est aux fers dans un cachot, mon esprit est en prison dans une idée. »","Petite cellule sombre, humide, souvent souterraine, destinée à isoler et punir. Le cachot symbolise l’enfermement absolu, physique et mental.","geôle, cellule, oubliette",Hugo — Préface
Léthargie,« …il fallut pour me tirer de ma léthargie sa rude voix à mon oreille… »,"État d’engourdissement profond, proche du sommeil ou de l’anesthésie morale. La léthargie peut être physique, psychique ou existentielle.","torpeur, engourdissement, inertie",Hugo — Préface
Menottes,« On me remit les menottes. »,"Anneaux métalliques fermant les poignets pour immobiliser un prisonnier. Elles symbolisent la perte de liberté, l’humiliation et la contrainte physique.","fers, entraves, bracelets de fer",Hugo — Préface
Verdict,"« …prit la parole, et lut le verdict que les jurés avaient prononcé en mon absence. »","Décision finale d’un jury, qui statue sur la culpabilité. Le mot porte un poids dramatique immense : il scelle le destin du condamné.","jugement, sentence, décision",Hugo — Préface
Préméditation,« …ils auront sans doute écarté la préméditation… »,"Intention réfléchie avant l’acte criminel. En droit, elle aggrave la peine car elle implique une volonté froide et calculée.","intention préalable, dessein, planification",Hugo — Préface
Linceul,"« …tout cela était blanc et pâle, de la couleur d’un linceul. »","Drap mortuaire enveloppant le corps du défunt. Symbole de mort, de silence et de pureté funèbre.","suaire, voile funèbre",Hugo — Préface
Gardes-chiourme,« …être brutalisé des guichetiers et des gardes-chiourme… »,"Surveillants des forçats, réputés pour leur brutalité. Le mot évoque un univers carcéral violent et déshumanisé.","geôliers, surveillants, matons",Hugo — Préface
Camisole de force,« …la camisole de force… emprisonna mes bras… »,"Vêtement de contention empêchant tout mouvement, utilisé pour maîtriser les prisonniers ou les aliénés. Symbole d’impuissance totale.","entrave, contention, immobilisation",Hugo — Préface
Argot,« Ils m’apprennent à parler argot… »,"Langue codée des criminels, des marginaux et des prisons. L’argot crée une communauté secrète et marque l’exclusion sociale.","jargon, langue verte, cant",Hugo — Préface
Bigorne,« …à rouscailler bigorne… »,"Argot : parler de manière grossière, obscure ou codée.","baragouin, jargon, patois criminel",Hugo — Préface
Raisiné,« …il y a du raisiné sur le trimar… »,"Argot : sang, souvent associé à la violence.","rouge, sang, hémoglobine",Hugo — Préface
Trimar,« …du raisiné sur le trimar… »,"Argot : chemin, route, parcours.","route, voie, sentier",Hugo — Préface
Sorbonne,« La tête d’un voleur a deux noms : la sorbonne… »,"Argot : tête, cerveau, siège de la pensée.","caboche, ciboulot",Hugo — Préface
Tronche,"« …la tronche, quand le bourreau la coupe. »","Argot : tête, mais dans un sens brutal, corporel.","gueule, caboche",Hugo — Préface
Taule,« …le taule (le bourreau)… »,"Argot : bourreau, celui qui exécute.","exécuteur, faucheur",Hugo — Préface
Cône,« …la cône (la mort)… »,"Argot : la mort, personnifiée comme une présence familière.","trépas, fin, faucheuse",Hugo — Préface
Placarde,« …la placarde (la place des exécutions). »,Argot : lieu où l’on exécute les condamnés.,"Grève, échafaud",Hugo — Préface
Autopsie intellectuelle,« …dans cette espèce d’autopsie intellectuelle d’un condamné… »,"Analyse minutieuse, presque chirurgicale, des pensées et émotions d’un homme voué à la mort.","dissection morale, examen intérieur",Hugo — Préface
Chiourme,« C’était la chiourme et les chaînes. »,Groupe de forçats ou leurs gardiens ; univers de souffrance et de servitude.,"bagne, troupe de forçats",Hugo — Préface
Argousins,« Cependant les argousins… se mirent tranquillement à leur besogne. »,"Gardiens de prison, souvent brutaux et indifférents.","guichetiers, surveillants",Hugo — Préface
Carcans,« …les carcans de fer… »,Colliers de fer fixés au cou pour immobiliser.,"entraves, fers, colliers",Hugo — Préface
Sayons,« …sur leurs misérables sayons étalés sur le pavé. »,"Tuniques grossières, vêtements pauvres des prisonniers.","haillons, guenilles",Hugo — Préface
Enclumes portatives,« …armés d’enclumes portatives… »,Petites enclumes mobiles utilisées pour river les fers.,enclumettes,Hugo — Préface
Récalcitrants,« …sur les membres des récalcitrants. »,"Ceux qui résistent, refusent d’obéir.","rebelles, opposants",Hugo — Préface
Sabbat,« Si je cherchais une image du sabbat… »,"Scène infernale, tumultueuse, évoquant un rassemblement de sorcières.","chaos, tumulte, sabbat des sorcières",Hugo — Préface
Escouade,« …rejoindre leur escouade. »,Petit groupe militaire ou policier.,"section, troupe",Hugo — Préface
Plaideurs,« …les plaideurs ont bien plaidé… »,Parties engagées dans un procès.,"justiciables, parties civiles",Hugo — Préface
Soutane,« J’ai vu une soutane… »,Long vêtement noir du prêtre.,robe ecclésiastique,Hugo — Préface
Huissier,« Je suis huissier près la cour royale… »,Officier chargé de signifier les actes et d’exécuter les décisions.,"sergent, officier ministériel",Hugo — Préface
Papier timbré,« …son papier timbré. »,"Document officiel soumis à taxe, garant de l’authenticité juridique.","acte, document scellé",Hugo — Préface
Corbillard,« …le corbillard des pauvres… »,"Voiture funéraire, souvent misérable pour les indigents.",char funèbre,Hugo — Préface
Billevesées,« Et mille billevesées. »,"Propos absurdes, idées creuses.","balivernes, sornettes",Hugo — Préface
Inepte,« …un étonnement inepte… »,Dénué d’intelligence ou de pertinence.,"sot, absurde",Hugo — Préface
Friauche,« Un friauche ! »,"Argot : enfant, gamin.","môme, gosse",Hugo — Préface
Faucheur,« …passer par le faucheur. »,"Argot : bourreau, celui qui « fauche » les vies.","exécuteur, bourreau",Hugo — Préface
Carlinet,« …devant la carlinet. »,Argot : guillotine.,"veuve, machine",Hugo — Préface
Bière,« …on en mettra plein une bière… »,"Cercueil, caisse mortuaire.","cercueil, caisse",Hugo — Préface
Rainure,« …graisser la rainure… »,Fente où glisse le couperet de la guillotine.,"coulisse, glissière",Hugo — Préface
Pied-de-roi,« …a ouvert un pied-de-roi… »,Ancien instrument de mesure gradué.,"règle, mesure",Hugo — Préface
Emphatique,« …emphatique où il eût été besoin de profondeur… »,"Qui exagère l’expression, pompeux.","grandiloquent, ampoulé",Hugo — Préface
Vicaire,« …chercher quelque jeune vicaire… »,Prêtre adjoint au curé.,"ecclésiastique, prêtre",Hugo — Préface
Crucifix,« …avec votre crucifix… »,Croix portant la figure du Christ.,croix sacrée,Hugo — Préface
Pilori,« …autel dont on a fait un pilori. »,Poteau où l’on exposait les condamnés au mépris public.,poteau d’infamie,Hugo — Préface